seed,size,p,map_type,sg_id,algo,success,edges,suboptimality,runtime_ms,expanded,generated,peak_frontier,peak_closed,peak_rss_mb,free,start_y,start_x,end_y,end_x,is_corner
313152,31x31,0.05,sparse0.05,1,JPS,0,0,,0.5025,59.0,,,59.0,0.0,460,26,5,8,25,0
313152,31x31,0.05,sparse0.05,2,A*,1,70,1.0,0.5096,330.0,334.0,12.0,330.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,Dijkstra,1,70,1.0,0.6423,458.0,459.0,13.0,458.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,DFS,1,70,1.0,0.133,110.0,128.0,20.0,110.0,0.0,460,20,13,25,10,0
313152,31x31,0.05,sparse0.05,2,JPS,0,0,,0.6709,87.0,,,87.0,0.0,460,20,13,25,10,0
313200,31x31,0.1,sparse0.10,0,A*,1,76,1.0,0.4502,248.0,268.0,21.0,248.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,Dijkstra,1,76,1.0,0.6124,459.0,465.0,17.0,459.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,DFS,1,124,1.631578947368421,0.2016,149.0,193.0,45.0,149.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,0,JPS,0,0,,0.6054,79.0,,,79.0,0.0,484,1,1,29,29,1
313200,31x31,0.1,sparse0.10,1,A*,1,54,1.0,0.2651,168.0,177.0,14.0,168.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,Dijkstra,1,54,1.0,0.4852,356.0,367.0,17.0,356.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,DFS,1,202,3.740740740740741,0.4063,305.0,366.0,65.0,305.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,1,JPS,0,0,,1.1327,179.0,,,179.0,0.0,484,3,9,5,21,0
313200,31x31,0.1,sparse0.10,2,A*,1,49,1.0,0.2504,151.0,170.0,20.0,151.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,Dijkstra,1,49,1.0,0.4735,336.0,356.0,22.0,336.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,DFS,1,67,1.3673469387755102,0.124,94.0,111.0,18.0,94.0,0.0,484,29,18,21,17,0
313200,31x31,0.1,sparse0.10,2,JPS,0,0,,0.6861,100.0,,,100.0,0.0,484,29,18,21,17,0
313201,31x31,0.1,sparse0.10,0,A*,1,68,1.0,0.3006,186.0,198.0,14.0,186.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,Dijkstra,1,68,1.0,0.4537,323.0,329.0,15.0,323.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,DFS,1,112,1.6470588235294117,0.3247,264.0,305.0,55.0,264.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,0,JPS,0,0,,0.6425,12.0,,,12.0,0.0,491,1,1,29,29,1
313201,31x31,0.1,sparse0.10,1,A*,1,22,1.0,0.1483,82.0,93.0,17.0,82.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,Dijkstra,1,22,1.0,0.3115,228.0,240.0,22.0,228.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,DFS,1,54,2.4545454545454546,0.0878,73.0,93.0,21.0,73.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,1,JPS,0,0,,0.2043,26.0,,,26.0,0.0,491,17,15,27,7,0
313201,31x31,0.1,sparse0.10,2,A*,1,42,1.0,0.2645,167.0,175.0,12.0,167.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,Dijkstra,1,42,1.0,0.4207,309.0,318.0,15.0,309.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,DFS,1,48,1.1428571428571428,0.4818,434.0,448.0,50.0,434.0,0.0,491,9,25,5,21,0
313201,31x31,0.1,sparse0.10,2,JPS,0,0,,0.2406,11.0,,,11.0,0.0,491,9,25,5,21,0
313202,31x31,0.1,sparse0.10,0,A*,1,84,1.0,0.346,220.0,233.0,14.0,220.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,Dijkstra,1,84,1.0,0.5452,385.0,394.0,16.0,385.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,DFS,1,94,1.119047619047619,0.1767,145.0,180.0,38.0,145.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,0,JPS,0,0,,0.3616,5.0,,,5.0,0.0,495,1,1,29,29,1
313202,31x31,0.1,sparse0.10,1,A*,1,70,1.0,0.5154,328.0,337.0,18.0,328.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,Dijkstra,1,70,1.0,0.5554,415.0,417.0,13.0,415.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,DFS,1,110,1.5714285714285714,0.3599,301.0,341.0,42.0,301.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,1,JPS,0,0,,0.8387,164.0,,,164.0,0.0,495,25,3,11,11,0
313202,31x31,0.1,sparse0.10,2,A*,1,79,1.0,0.3417,218.0,229.0,12.0,218.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,Dijkstra,1,79,1.0,0.5418,400.0,409.0,16.0,400.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,DFS,1,121,1.5316455696202531,0.4145,345.0,388.0,57.0,345.0,0.0,495,7,4,25,7,0
313202,31x31,0.1,sparse0.10,2,JPS,0,0,,0.1998,6.0,,,6.0,0.0,495,7,4,25,7,0
616100,61x61,0.0,dense,0,A*,1,412,1.0,1.6797,1105.0,1113.0,13.0,1105.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,Dijkstra,1,412,1.0,2.1068,1535.0,1541.0,14.0,1535.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,DFS,1,412,1.0,0.9599,727.0,855.0,130.0,727.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,0,JPS,0,0,,2.5071,217.0,,,217.0,0.0,1799,1,1,59,59,1
616100,61x61,0.0,dense,1,A*,1,255,1.0,2.1263,1231.0,1241.0,18.0,1231.0,0.0,1799,3,47,46,21,0
616100,61x61,0.0,dense,1,Dijkstra,1,255,1.0,1.8101,1357.0,1363.0,11.0,1357.0,0.0,1799,3,47,46,21,0
616100,61x61,0.0,dense,1,DFS,1,255,1.0,1.3465,1138.0,1210.0,89.0,1138.0,0.0,1799,3,47,46,21,0
616100,61x61,0.0,dense,1,JPS,0,0,,3.0015,77.0,,,77.0,0.0,1799,3,47,46,21,0
616100,61x61,0.0,dense,2,A*,1,25,1.0,0.0982,45.0,51.0,10.0,45.0,0.0,1799,34,1,51,1,0
616100,61x61,0.0,dense,2,Dijkstra,1,25,1.0,0.2164,131.0,138.0,9.0,131.0,0.0,1799,34,1,51,1,0
616100,61x61,0.0,dense,2,DFS,1,25,1.0,0.5712,440.0,445.0,39.0,440.0,0.0,1799,34,1,51,1,0
616100,61x61,0.0,dense,2,JPS,0,0,,1.7729,284.0,,,284.0,0.0,1799,34,1,51,1,0
616101,61x61,0.0,dense,0,A*,1,352,1.0,1.3175,855.0,863.0,14.0,855.0,0.0,1799,1,1,59,59,1
616101,61x61,0.0,dense,0,Dijkstra,1,352,1.0,1.1212,893.0,897.0,8.0,893.0,0.0,1799,1,1,59,59,1
616101,61x61,0.0,dense,0,DFS,1,352,1.0,0.7583,577.0,679.0,103.0,577.0,0.0,1799,1,1,59,59,1
616101,61x61,0.0,dense,0,JPS,0,0,,1.9667,160.0,,,160.0,0.0,1799,1,1,59,59,1
616101,61x61,0.0,dense,1,A*,1,234,1.0,1.5962,1049.0,1058.0,17.0,1049.0,0.0,1799,7,7,33,23,0
616101,61x61,0.0,dense,1,Dijkstra,1,234,1.0,1.495,1127.0,1127.0,10.0,1127.0,0.0,1799,7,7,33,23,0
616101,61x61,0.0,dense,1,DFS,1,234,1.0,1.0999,965.0,1018.0,62.0,965.0,0.0,1799,7,7,33,23,0
616101,61x61,0.0,dense,1,JPS,0,0,,1.9675,228.0,,,228.0,0.0,1799,7,7,33,23,0
616101,61x61,0.0,dense,2,A*,1,305,1.0,1.4517,895.0,901.0,14.0,895.0,0.0,1799,11,19,50,31,0
616101,61x61,0.0,dense,2,Dijkstra,1,305,1.0,1.1866,952.0,954.0,8.0,952.0,0.0,1799,11,19,50,31,0
616101,61x61,0.0,dense,2,DFS,1,305,1.0,1.1189,802.0,887.0,96.0,802.0,0.0,1799,11,19,50,31,0
616101,61x61,0.0,dense,2,JPS,0,0,,1.8975,170.0,,,170.0,0.0,1799,11,19,50,31,0
616102,61x61,0.0,dense,0,A*,1,428,1.0,2.043,1339.0,1346.0,13.0,1339.0,0.0,1799,1,1,59,59,1
616102,61x61,0.0,dense,0,Dijkstra,1,428,1.0,1.7776,1355.0,1356.0,12.0,1355.0,0.0,1799,1,1,59,59,1
616102,61x61,0.0,dense,0,DFS,1,428,1.0,1.021,683.0,806.0,124.0,683.0,0.0,1799,1,1,59,59,1
616102,61x61,0.0,dense,0,JPS,0,0,,2.9202,255.0,,,255.0,0.0,1799,1,1,59,59,1
616102,61x61,0.0,dense,1,A*,1,96,1.0,0.754,489.0,497.0,18.0,489.0,0.0,1799,29,17,59,19,0
616102,61x61,0.0,dense,1,Dijkstra,1,96,1.0,0.7486,589.0,593.0,11.0,589.0,0.0,1799,29,17,59,19,0
616102,61x61,0.0,dense,1,DFS,1,96,1.0,0.8709,693.0,713.0,67.0,693.0,0.0,1799,29,17,59,19,0
616102,61x61,0.0,dense,1,JPS,0,0,,0.9473,109.0,,,109.0,0.0,1799,29,17,59,19,0
616102,61x61,0.0,dense,2,A*,1,304,1.0,2.6199,1707.0,1716.0,30.0,1707.0,0.0,1799,53,22,1,56,0
616102,61x61,0.0,dense,2,Dijkstra,1,304,1.0,2.2781,1788.0,1789.0,14.0,1788.0,0.0,1799,53,22,1,56,0
616102,61x61,0.0,dense,2,DFS,1,304,1.0,1.9394,1538.0,1625.0,88.0,1538.0,0.0,1799,53,22,1,56,0
616102,61x61,0.0,dense,2,JPS,0,0,,2.8703,349.0,,,349.0,0.0,1799,53,22,1,56,0
616150,61x61,0.05,sparse0.05,0,A*,1,224,1.0,1.2236,745.0,755.0,20.0,745.0,0.0,1899,1,1,59,59,1
616150,61x61,0.05,sparse0.05,0,Dijkstra,1,224,1.0,1.3515,1031.0,1041.0,14.0,1031.0,0.0,1899,1,1,59,59,1
616150,61x61,0.05,sparse0.05,0,DFS,1,292,1.3035714285714286,0.5949,435.0,545.0,112.0,435.0,0.0,1899,1,1,59,59,1
616150,61x61,0.05,sparse0.05,0,JPS,0,0,,5.0833,499.0,,,499.0,0.0,1899,1,1,59,59,1
616150,61x61,0.05,sparse0.05,1,A*,1,210,1.0,2.4864,1582.0,1604.0,23.0,1582.0,0.0,1899,22,13,14,35,0
616150,61x61,0.05,sparse0.05,1,Dijkstra,1,210,1.0,2.2082,1670.0,1680.0,22.0,1670.0,0.0,1899,22,13,14,35,0
616150,61x61,0.05,sparse0.05,1,DFS,1,336,1.6,1.2325,930.0,1038.0,129.0,930.0,0.0,1899,22,13,14,35,0
616150,61x61,0.05,sparse0.05,1,JPS,0,0,,1.2032,191.0,,,191.0,0.0,1899,22,13,14,35,0
616150,61x61,0.05,sparse0.05,2,A*,1,144,1.0,1.5096,978.0,990.0,30.0,978.0,0.0,1899,17,55,39,37,0
616150,61x61,0.05,sparse0.05,2,Dijkstra,1,144,1.0,1.9338,1421.0,1444.0,29.0,1421.0,0.0,1899,17,55,39,37,0
616150,61x61,0.05,sparse0.05,2,DFS,1,224,1.5555555555555556,1.2806,1113.0,1174.0,78.0,1113.0,0.0,1899,17,55,39,37,0
616150,61x61,0.05,sparse0.05,2,JPS,0,0,,2.542,400.0,,,400.0,0.0,1899,17,55,39,37,0
616151,61x61,0.05,sparse0.05,0,A*,1,190,1.0,1.3398,773.0,789.0,20.0,773.0,0.0,1883,1,1,59,59,1
616151,61x61,0.05,sparse0.05,0,Dijkstra,1,190,1.0,2.346,1722.0,1732.0,31.0,1722.0,0.0,1883,1,1,59,59,1
